country,sex,year,industry
aus,m,1986,35.70000076293945
aus,f,1986,14.100000381469727
aus,mf,1987,26.200000762939453
aus,m,1987,35.099998474121094
aus,f,1987,13.800000190734863
aus,mf,1988,26.299999237060547
aus,m,1988,34.79999923706055
aus,f,1988,13.5
aus,mf,1989,26.200000762939453
aus,m,1989,35.099998474121094
aus,f,1989,13.399999618530273
aus,mf,1990,25.100000381469727
aus,m,1990,33.900001525878906
aus,f,1990,12.699999809265137
aus,mf,1991,23.899999618530273
aus,m,1991,32.099998474121094
aus,f,1991,12.5
aus,mf,1992,23.600000381469727
aus,m,1992,32.099998474121094
aus,f,1992,12.100000381469727
aus,mf,1993,23.700000762939453
aus,m,1993,32.20000076293945
aus,f,1993,12.300000190734863
aus,mf,1994,23.600000381469727
aus,m,1994,32.29999923706055
aus,f,1994,12.0
aus,mf,1995,23.100000381469727
aus,m,1995,31.899999618530273
aus,f,1995,11.5
aus,mf,1996,22.700000762939453
aus,m,1996,31.399999618530273
aus,f,1996,11.199999809265137
aus,mf,1997,22.5
aus,m,1997,31.200000762939453
aus,f,1997,11.100000381469727
aus,mf,1998,22.100000381469727
aus,m,1998,31.0
aus,f,1998,10.5
aus,mf,1999,21.799999237060547
aus,m,1999,30.700000762939453
aus,f,1999,10.300000190734863
aus,mf,2000,22.200000762939453
aus,m,2000,31.299999237060547
aus,f,2000,10.600000381469727
aus,mf,2001,21.299999237060547
aus,m,2001,30.5
aus,f,2001,9.800000190734863
aus,mf,2002,21.399999618530273
aus,m,2002,30.799999237060547
aus,f,2002,9.800000190734863
aus,mf,2003,21.399999618530273
aus,m,2003,30.799999237060547
aus,f,2003,9.800000190734863
aus,mf,2004,21.700000762939453
aus,m,2004,31.399999618530273
aus,f,2004,9.600000381469727
aus,mf,2005,21.5
aus,m,2005,31.299999237060547
aus,f,2005,9.5
aus,mf,2006,21.600000381469727
aus,m,2006,31.899999618530273
aus,f,2006,9.199999809265137
aus,mf,2007,21.600000381469727
aus,m,2007,32.0
aus,f,2007,8.899999618530273
aus,mf,2008,22.0
aus,m,2008,32.79999923706055
aus,f,2008,9.0
aus,mf,2009,21.5
aus,m,2009,32.0
aus,f,2009,9.0
aus,mf,2010,21.399999618530273
aus,m,2010,32.0
aus,f,2010,8.699999809265137
aus,mf,2011,19.600000381469727
aus,m,2011,29.5
aus,f,2011,7.900000095367432
aus,mf,2012,19.299999237060547
aus,m,2012,29.200000762939453
aus,f,2012,7.599999904632568
aus,mf,2013,20.799999237060547
aus,m,2013,31.399999618530273
aus,f,2013,8.300000190734863
aut,mf,1983,38.79999923706055
aut,m,1983,49.29999923706055
aut,f,1983,21.799999237060547
aut,mf,1984,38.099998474121094
