country,sex,year,total_employment_000
aus,mf,1998,8476.2998046875
aus,m,1998,4789.0
aus,f,1998,3687.300048828125
aus,mf,1999,8632.599609375
aus,m,1999,4868.7001953125
aus,f,1999,3763.89990234375
aus,mf,2000,8860.900390625
aus,m,2000,4955.7998046875
aus,f,2000,3905.10009765625
aus,mf,2001,8988.2998046875
aus,m,2001,4991.2998046875
aus,f,2001,3997.0
aus,mf,2002,9166.0
aus,m,2002,5086.39990234375
aus,f,2002,4079.60009765625
aus,mf,2003,9376.7998046875
aus,m,2003,5176.89990234375
aus,f,2003,4199.89990234375
aus,mf,2004,9520.7001953125
aus,m,2004,5273.7998046875
aus,f,2004,4247.0
aus,mf,2005,9852.7001953125
aus,m,2005,5424.7998046875
aus,f,2005,4427.89990234375
aus,mf,2006,10087.7001953125
aus,m,2006,5536.0
aus,f,2006,4551.7001953125
aus,mf,2007,10407.599609375
aus,m,2007,5715.7998046875
aus,f,2007,4691.7998046875
aus,mf,2008,10695.2001953125
aus,m,2008,5858.5
aus,f,2008,4836.7001953125
aus,mf,2009,10775.0
aus,m,2009,5858.2998046875
aus,f,2009,4916.7001953125
aus,mf,2010,10991.2001953125
aus,m,2010,6004.10009765625
aus,f,2010,4987.2001953125
aus,mf,2011,11357.2998046875
aus,m,2011,6186.39990234375
aus,f,2011,5170.89990234375
aus,mf,2012,11482.0
aus,m,2012,6236.10009765625
aus,f,2012,5245.89990234375
aus,mf,2013,11440.099609375
aus,m,2013,6201.2001953125
aus,f,2013,5238.89990234375
aut,mf,1983,3158.39990234375
aut,m,1983,1947.0
aut,f,1983,1211.4000244140625
aut,mf,1984,3235.300048828125
aut,m,1984,1949.300048828125
aut,f,1984,1286.0
aut,mf,1985,3234.5
aut,m,1985,1957.4000244140625
aut,f,1985,1277.0999755859375
aut,mf,1986,3282.300048828125
aut,m,1986,1980.9000244140625
aut,f,1986,1301.4000244140625
aut,mf,1987,3299.800048828125
aut,m,1987,1979.5
aut,f,1987,1320.300048828125
aut,mf,1988,3310.60009765625
aut,m,1988,1974.5
aut,f,1988,1335.5999755859375
aut,mf,1989,3346.39990234375
aut,m,1989,1990.0999755859375
aut,f,1989,1356.4000244140625
aut,mf,1990,3421.10009765625
aut,m,1990,2024.800048828125
aut,f,1990,1396.300048828125
aut,mf,1991,3481.699951171875
aut,m,1991,2055.10009765625
aut,f,1991,1426.5999755859375
aut,mf,1992,3546.699951171875
aut,m,1992,2072.5
aut,f,1992,1474.0999755859375
aut,mf,1993,3575.5
aut,m,1993,2078.800048828125
aut,f,1993,1496.5999755859375
aut,mf,1994,3742.0
aut,m,1994,2146.800048828125
aut,f,1994,1595.199951171875
aut,mf,1995,3674.534912109375
aut,m,1995,2085.568115234375
aut,f,1995,1588.967041015625
aut,mf,1996,3617.281982421875
aut,m,1996,2045.487060546875
aut,f,1996,1571.7950439453125
aut,mf,1997,3608.7890625
aut,m,1997,2036.2960205078125
aut,f,1997,1572.4930419921875
aut,mf,1998,3626.35693359375
aut,m,1998,2036.6240234375
aut,f,1998,1589.7340087890625
aut,mf,1999,3644.0
aut,m,1999,2043.5999755859375
aut,f,1999,1600.4000244140625
aut,mf,2000,3648.0
aut,m,2000,2039.4000244140625
aut,f,2000,1608.699951171875
aut,mf,2001,3662.0
