country,sex,year,not_adequately_defined_000
arg,mf,2012,70.2300033569336
arg,m,2012,46.05500030517578
arg,f,2012,24.174999237060547
arg,mf,2013,89.04900360107422
arg,m,2013,51.45500183105469
arg,f,2013,37.595001220703125
arg,mf,2014,79.29299926757812
arg,m,2014,47.263999938964844
arg,f,2014,32.02899932861328
abw,mf,1994,0.05000000074505806
abw,m,1994,0.03999999910593033
abw,f,1994,0.009999999776482582
abw,mf,1997,0.13300000131130219
abw,m,1997,0.054999999701976776
abw,f,1997,0.07800000160932541
abw,mf,2000,0.3240000009536743
abw,m,2000,0.20900000631809235
abw,f,2000,0.11599999666213989
abw,mf,2007,0.08699999749660492
abw,m,2007,0.06300000101327896
abw,f,2007,0.024000000208616257
abw,mf,2010,0.22699999809265137
abw,m,2010,0.13899999856948853
abw,f,2010,0.08900000154972076
abw,mf,2011,0.1379999965429306
abw,m,2011,0.09200000017881393
abw,f,2011,0.04600000008940697
aus,mf,1991,445.20001220703125
aus,m,1991,266.1000061035156
aus,f,1991,179.10000610351562
aus,mf,1992,457.8999938964844
aus,m,1992,270.8999938964844
aus,f,1992,187.0
aus,mf,1993,464.3999938964844
aus,m,1993,272.5
aus,f,1993,191.89999389648438
aus,mf,1994,478.5
aus,m,1994,279.20001220703125
aus,f,1994,199.3000030517578
aus,mf,1995,494.0
aus,m,1995,281.6000061035156
aus,f,1995,212.3000030517578
aus,mf,1996,516.9000244140625
aus,m,1996,293.0
aus,f,1996,224.0
aus,mf,1997,501.3999938964844
aus,m,1997,287.3999938964844
aus,f,1997,214.0
aus,mf,1998,507.6000061035156
aus,m,1998,290.5
aus,f,1998,217.10000610351562
aus,mf,1999,516.9000244140625
aus,m,1999,292.8999938964844
aus,f,1999,224.0
aus,mf,2000,540.5999755859375
aus,m,2000,305.29998779296875
aus,f,2000,235.1999969482422
aus,mf,2001,546.7000122070312
aus,m,2001,304.70001220703125
aus,f,2001,242.0
aus,mf,2002,553.7000122070312
aus,m,2002,304.0
aus,f,2002,249.6999969482422
aus,mf,2003,573.0999755859375
aus,m,2003,315.3999938964844
aus,f,2003,257.70001220703125
aus,mf,2004,630.4000244140625
aus,m,2004,347.5
aus,f,2004,282.79998779296875
aus,mf,2005,673.2000122070312
aus,m,2005,367.0
aus,f,2005,306.20001220703125
aus,mf,2006,677.5
aus,m,2006,362.70001220703125
aus,f,2006,314.79998779296875
aus,mf,2007,687.7999877929688
aus,m,2007,375.0
aus,f,2007,312.79998779296875
aus,mf,2008,722.9000244140625
