country,sex,year,industry_000
aus,mf,1983,1789.699951171875
aus,m,1983,1433.0999755859375
aus,f,1983,356.79998779296875
aus,mf,1984,1816.800048828125
aus,m,1984,1455.9000244140625
aus,f,1984,360.79998779296875
aus,mf,1985,1831.241943359375
aus,m,1985,1494.4310302734375
aus,f,1985,377.3580017089844
aus,mf,1986,1849.9210205078125
aus,m,1986,1505.0369873046875
aus,f,1986,386.4949951171875
aus,mf,1987,1861.9000244140625
aus,m,1987,1498.27197265625
aus,f,1987,390.7829895019531
aus,mf,1988,1886.199951171875
aus,m,1988,1500.5999755859375
aus,f,1988,385.70001220703125
aus,mf,1989,2023.800048828125
aus,m,1989,1599.9000244140625
aus,f,1989,424.1000061035156
aus,mf,1990,1965.800048828125
aus,m,1990,1551.699951171875
aus,f,1990,413.8999938964844
aus,mf,1991,1829.300048828125
aus,m,1991,1427.9000244140625
aus,f,1991,401.29998779296875
aus,mf,1992,1798.5
aus,m,1992,1406.9000244140625
aus,f,1992,391.70001220703125
aus,mf,1993,1806.199951171875
aus,m,1993,1408.5999755859375
aus,f,1993,397.70001220703125
aus,mf,1994,1858.4000244140625
aus,m,1994,1457.699951171875
aus,f,1994,401.0
aus,mf,1995,1889.5999755859375
aus,m,1995,1485.199951171875
aus,f,1995,404.20001220703125
aus,mf,1996,1880.199951171875
aus,m,1996,1478.800048828125
aus,f,1996,401.29998779296875
aus,mf,1997,1872.5
aus,m,1997,1473.199951171875
aus,f,1997,399.3999938964844
aus,mf,1998,1874.5999755859375
aus,m,1998,1486.0
aus,f,1998,388.5
aus,mf,1999,1884.9000244140625
aus,m,1999,1496.0999755859375
aus,f,1999,388.8999938964844
aus,mf,2000,1964.800048828125
aus,m,2000,1551.4000244140625
aus,f,2000,413.6000061035156
aus,mf,2001,1914.199951171875
aus,m,2001,1521.9000244140625
aus,f,2001,392.3999938964844
aus,mf,2002,1965.199951171875
aus,m,2002,1565.5999755859375
aus,f,2002,399.5
aus,mf,2003,2008.0
aus,m,2003,1594.9000244140625
aus,f,2003,413.20001220703125
aus,mf,2004,2063.800048828125
aus,m,2004,1655.0999755859375
aus,f,2004,408.70001220703125
aus,mf,2005,2118.10009765625
aus,m,2005,1697.199951171875
aus,f,2005,420.8999938964844
aus,mf,2006,2183.60009765625
aus,m,2006,1765.5
aus,f,2006,418.29998779296875
aus,mf,2007,2245.89990234375
aus,m,2007,1826.4000244140625
aus,f,2007,419.5
aus,mf,2008,2356.10009765625
aus,m,2008,1919.0999755859375
aus,f,2008,437.0
aus,mf,2009,2317.0
aus,m,2009,1872.699951171875
aus,f,2009,444.29998779296875
aus,mf,2010,2351.0
aus,m,2010,1919.5
aus,f,2010,431.5
aus,mf,2011,2230.60009765625
aus,m,2011,1823.4000244140625
aus,f,2011,407.20001220703125
aus,mf,2012,2219.5
aus,m,2012,1822.5999755859375
aus,f,2012,396.8999938964844
aus,mf,2013,2384.300048828125
aus,m,2013,1947.5999755859375
aus,f,2013,436.70001220703125
aut,mf,1983,1225.300048828125
aut,m,1983,960.5999755859375
aut,f,1983,264.6000061035156
aut,mf,1984,1233.0
aut,m,1984,948.7000122070312
aut,f,1984,285.1000061035156
aut,mf,1985,1232.9000244140625
aut,m,1985,955.2000122070312
aut,f,1985,277.70001220703125
aut,mf,1986,1241.4000244140625
aut,m,1986,964.4000244140625
aut,f,1986,277.0
aut,mf,1987,1243.199951171875
aut,m,1987,963.9000244140625
aut,f,1987,279.29998779296875
aut,mf,1988,1236.300048828125
aut,m,1988,957.2000122070312
aut,f,1988,276.70001220703125
aut,mf,1989,1238.199951171875
aut,m,1989,965.4000244140625
aut,f,1989,272.70001220703125
aut,mf,1990,1259.9000244140625
aut,m,1990,983.7999877929688
aut,f,1990,276.1000061035156
aut,mf,1991,1283.699951171875
aut,m,1991,992.0
aut,f,1991,291.5
aut,mf,1992,1260.9000244140625
aut,m,1992,973.9000244140625
aut,f,1992,287.0
aut,mf,1993,1254.699951171875
aut,m,1993,979.7999877929688
aut,f,1993,274.8999938964844
aut,mf,1994,1214.800048828125
aut,m,1994,941.0
aut,f,1994,273.6000061035156
aut,mf,1995,1179.56494140625
aut,m,1995,900.7589721679688
aut,f,1995,278.8059997558594
aut,mf,1996,1095.948974609375
aut,m,1996,850.5020141601562
aut,f,1996,245.44700622558594
aut,mf,1997,1069.7320556640625
aut,m,1997,839.3989868164062
aut,f,1997,230.33299255371094
aut,mf,1998,1072.0909423828125
aut,m,1998,844.9769897460938
aut,f,1998,227.11399841308594
aut,mf,1999,1091.9000244140625
aut,m,1999,865.2999877929688
aut,f,1999,226.60000610351562
aut,mf,2000,1102.300048828125
aut,m,2000,871.9000244140625
aut,f,2000,230.3000030517578
aut,mf,2001,1082.4000244140625
aut,m,2001,856.2000122070312
aut,f,2001,226.1999969482422
aut,mf,2002,1055.199951171875
aut,m,2002,838.9000244140625
aut,f,2002,216.3000030517578
aut,mf,2003,1081.300048828125
aut,m,2003,860.5
aut,f,2003,220.8000030517578
aut,mf,2004,958.2999877929688
aut,m,2004,740.9000244140625
aut,f,2004,217.3000030517578
aut,mf,2005,1030.0
aut,m,2005,810.2999877929688
aut,f,2005,219.5
aut,mf,2006,1072.300048828125
aut,m,2006,839.2999877929688
aut,f,2006,233.0
aut,mf,2007,1066.5999755859375
aut,m,2007,835.5
aut,f,2007,231.0
aut,mf,2008,1042.5999755859375
aut,m,2008,818.4000244140625
aut,f,2008,224.1999969482422
aut,mf,2009,987.5999755859375
aut,m,2009,777.9000244140625
aut,f,2009,209.6999969482422
aut,mf,2010,993.0999755859375
aut,m,2010,780.4000244140625
aut,f,2010,212.6999969482422
aut,mf,2011,1046.4000244140625
aut,m,2011,812.9000244140625
aut,f,2011,233.6999969482422
aut,mf,2012,1058.699951171875
aut,m,2012,817.5
aut,f,2012,241.1999969482422
aut,mf,2013,1056.0
aut,m,2013,806.2999877929688
aut,f,2013,249.6999969482422
aut,mf,2014,1051.4000244140625
aut,m,2014,806.4000244140625
aut,f,2014,245.0
aze,mf,1983,728.0999755859375
aze,mf,1984,743.7999877929688
aze,mf,1985,766.2000122070312
aze,mf,1986,781.7000122070312
aze,mf,1987,799.7999877929688
aze,mf,1988,808.5999755859375
aze,mf,1989,835.5
aze,mf,1990,846.7000122070312
aze,mf,1991,831.2999877929688
aze,mf,1992,754.2999877929688
aze,mf,1993,711.7999877929688
aze,mf,1994,681.5999755859375
aze,mf,1995,642.0
aze,mf,1996,557.5999755859375
aze,mf,1997,517.2000122070312
aze,mf,1998,411.6000061035156
aze,mf,1999,413.70001220703125
aze,m,1999,275.5
aze,f,1999,138.1999969482422
aze,mf,2000,403.0
aze,m,2000,269.70001220703125
aze,f,2000,133.3000030517578
aze,mf,2001,402.0
aze,m,2001,273.8999938964844
aze,f,2001,128.10000610351562
aze,mf,2002,429.6000061035156
aze,m,2002,296.3999938964844
aze,f,2002,133.1999969482422
aze,mf,2003,432.0
aze,m,2003,298.29998779296875
aze,f,2003,133.6999969482422
aze,mf,2004,453.5
aze,m,2004,303.29998779296875
aze,f,2004,150.1999969482422
aze,mf,2005,465.0
aze,m,2005,306.0
aze,f,2005,159.0
aze,mf,2006,503.79998779296875
aze,m,2006,331.3999938964844
aze,f,2006,172.39999389648438
aze,mf,2007,513.7999877929688
aze,m,2007,336.5
aze,f,2007,177.3000030517578
aze,mf,2008,515.2000122070312
aze,m,2008,371.8999938964844
aze,f,2008,143.3000030517578
aze,mf,2009,541.18701171875
aze,m,2009,425.7239990234375
aze,f,2009,115.46299743652344
aze,mf,2010,593.81298828125
aze,m,2010,464.9909973144531
aze,f,2010,128.82200622558594
aze,mf,2011,615.7999877929688
aze,m,2011,484.5
aze,f,2011,131.3000030517578
aze,mf,2012,635.0999755859375
aze,m,2012,501.8999938964844
aze,f,2012,133.1999969482422
aze,mf,2013,649.9229736328125
aze,m,2013,518.8209838867188
aze,f,2013,131.1020050048828
aze,mf,2014,658.2999877929688
bhs,mf,1986,14.875
bhs,m,1986,11.890000343322754
bhs,f,1986,3.684999942779541
bhs,mf,1989,16.059999465942383
bhs,m,1989,13.220000267028809
bhs,f,1989,2.8399999141693115
bhs,mf,1991,17.322999954223633
bhs,m,1991,14.543999671936035
bhs,f,1991,2.7790000438690186
bhs,mf,1992,17.507999420166016
bhs,m,1992,14.75
bhs,f,1992,2.757999897003174
bhs,mf,1993,14.4399995803833
bhs,m,1993,11.73799991607666
bhs,f,1993,2.7119998931884766
bhs,mf,1994,15.470000267028809
bhs,m,1994,12.484999656677246
bhs,f,1994,2.984999895095825
bhs,mf,1995,18.110000610351562
bhs,m,1995,14.845000267028809
bhs,f,1995,3.265000104904175
bhs,mf,1996,19.110000610351562
bhs,m,1996,15.71500015258789
bhs,f,1996,3.3949999809265137
bhs,mf,1997,19.7450008392334
bhs,m,1997,15.9399995803833
bhs,f,1997,3.805000066757202
bhs,mf,1998,21.985000610351562
bhs,m,1998,18.19499969482422
bhs,f,1998,3.7899999618530273
bhs,mf,1999,24.19499969482422
bhs,m,1999,20.4950008392334
bhs,f,1999,3.700000047683716
bhs,mf,2001,26.020000457763672
bhs,m,2001,21.469999313354492
bhs,f,2001,4.550000190734863
bhs,mf,2002,25.3700008392334
bhs,m,2002,22.18000030517578
bhs,f,2002,3.190000057220459
bhs,mf,2003,24.489999771118164
bhs,m,2003,20.2549991607666
bhs,f,2003,4.224999904632568
bhs,mf,2004,25.420000076293945
bhs,m,2004,21.475000381469727
bhs,f,2004,3.944999933242798
bhs,mf,2005,28.520000457763672
bhs,m,2005,24.540000915527344
bhs,f,2005,3.9800000190734863
bhs,mf,2006,30.489999771118164
bhs,m,2006,26.299999237060547
bhs,f,2006,4.190000057220459
bhs,mf,2007,30.725000381469727
bhs,m,2007,26.30500030517578
bhs,f,2007,4.420000076293945
bhs,mf,2008,28.309999465942383
bhs,m,2008,24.770000457763672
bhs,f,2008,3.549999952316284
bhs,mf,2009,25.2549991607666
bhs,m,2009,22.3799991607666
bhs,f,2009,2.875
bhs,mf,2011,21.190000534057617
bhs,m,2011,17.829999923706055
bhs,f,2011,3.359999895095825
bhr,mf,1981,48.20000076293945
bhr,m,1981,47.400001525878906
bhr,f,1981,0.800000011920929
bhr,mf,1982,48.29999923706055
bhr,m,1982,47.5
bhr,f,1982,0.800000011920929
bhr,mf,1991,60.220001220703125
bhr,m,1991,57.72999954223633
bhr,f,1991,2.5
bhr,mf,2001,81.69000244140625
bhr,m,2001,73.70600128173828
bhr,f,2001,7.984000205993652
bhr,mf,2004,45908.0
bhr,m,2004,43942.0
bhr,f,2004,1966.0
bhr,mf,2010,247.98699951171875
bhr,m,2010,234.96600341796875
bhr,f,2010,13.020999908447266
bgd,mf,1984,3084.0
bgd,m,1984,2376.0
bgd,f,1984,707.0
bgd,mf,1985,3334.0
bgd,m,1985,2655.0
bgd,f,1985,679.0
bgd,mf,1986,3807.0
bgd,m,1986,2693.0
bgd,f,1986,1114.0
bgd,mf,1989,7742.0
bgd,m,1989,3197.0
bgd,f,1989,4544.0
bgd,mf,1991,6505.0
bgd,m,1991,4779.0
bgd,f,1991,1727.0
bgd,mf,1996,5226.0
bgd,m,1996,3634.0
bgd,f,1996,1593.0
bgd,mf,2000,5311.0
bgd,m,2000,3568.0
bgd,f,2000,1742.0
bgd,mf,2002,6064.0
bgd,m,2002,4252.0
bgd,f,2002,1813.0
bgd,mf,2003,6064.0
bgd,m,2003,4252.0
bgd,f,2003,1813.0
bgd,mf,2005,6875.0
bgd,m,2005,5464.0
bgd,f,2005,1412.0
bgd,mf,2010,9580.0
bgd,m,2010,7421.0
bgd,f,2010,2160.0
brb,mf,1981,21.600000381469727
brb,m,1981,13.600000381469727
brb,f,1981,8.0
brb,mf,1982,23.0
brb,m,1982,15.100000381469727
brb,f,1982,7.900000095367432
brb,mf,1983,22.399999618530273
brb,m,1983,14.600000381469727
brb,f,1983,7.800000190734863
brb,mf,1984,21.200000762939453
brb,m,1984,13.600000381469727
brb,f,1984,7.599999904632568
brb,mf,1985,21.399999618530273
brb,m,1985,14.5
brb,f,1985,6.900000095367432
brb,mf,1986,21.399999618530273
brb,m,1986,14.399999618530273
brb,f,1986,7.0
brb,mf,1987,21.899999618530273
brb,m,1987,14.899999618530273
brb,f,1987,7.0
brb,mf,1988,22.799999237060547
brb,m,1988,15.899999618530273
brb,f,1988,6.900000095367432
brb,mf,1989,24.899999618530273
brb,m,1989,18.0
brb,f,1989,7.099999904632568
brb,mf,1990,23.0
brb,m,1990,16.600000381469727
brb,f,1990,6.400000095367432
brb,mf,1991,20.399999618530273
brb,m,1991,14.600000381469727
brb,f,1991,5.800000190734863
brb,mf,1992,18.899999618530273
brb,m,1992,13.300000190734863
brb,f,1992,5.599999904632568
