country,sex,year,services_percentage
aut,f,2000,79.69999694824219
aut,mf,2001,65.0999984741211
aut,m,2001,53.099998474121094
aut,f,2001,80.0999984741211
aut,mf,2002,65.5
aut,m,2002,52.79999923706055
aut,f,2002,81.0
aut,mf,2003,65.69999694824219
aut,m,2003,52.900001525878906
aut,f,2003,81.30000305175781
aut,mf,2004,68.4000015258789
aut,m,2004,57.099998474121094
aut,f,2004,81.9000015258789
aut,mf,2005,67.30000305175781
aut,m,2005,55.099998474121094
aut,f,2005,82.0
aut,mf,2006,66.80000305175781
aut,m,2006,54.5
aut,f,2006,81.5
aut,mf,2007,67.5
aut,m,2007,55.5
aut,f,2007,81.69999694824219
aut,mf,2008,68.80000305175781
aut,m,2008,56.900001525878906
aut,f,2008,82.9000015258789
aut,mf,2009,70.0999984741211
aut,m,2009,58.099998474121094
aut,f,2009,83.80000305175781
aut,mf,2010,70.0999984741211
aut,m,2010,58.099998474121094
aut,f,2010,83.80000305175781
aut,mf,2011,69.30000305175781
aut,m,2011,57.099998474121094
aut,f,2011,83.19999694824219
aut,mf,2012,69.5
aut,m,2012,57.0
aut,f,2012,83.19999694824219
aut,mf,2013,69.80000305175781
aut,m,2013,57.900001525878906
aut,f,2013,82.9000015258789
aut,mf,2014,69.69999694824219
aut,m,2014,57.70000076293945
aut,f,2014,83.0999984741211
aze,mf,1983,33.5
aze,mf,1984,33.5
aze,mf,1985,33.70000076293945
aze,mf,1986,33.70000076293945
aze,mf,1987,33.20000076293945
aze,mf,1988,34.0
aze,mf,1989,35.400001525878906
aze,mf,1990,31.100000381469727
aze,mf,1991,32.20000076293945
aze,mf,1992,31.100000381469727
aze,mf,1993,34.0
aze,mf,1994,35.400001525878906
aze,mf,1995,35.79999923706055
aze,mf,1996,37.70000076293945
aze,mf,1997,42.29999923706055
aze,mf,1998,46.599998474121094
aze,mf,1999,46.5
aze,m,1999,48.29999923706055
aze,f,1999,44.599998474121094
aze,mf,2000,48.099998474121094
aze,m,2000,49.70000076293945
aze,f,2000,46.400001525878906
aze,mf,2001,49.20000076293945
aze,m,2001,48.5
aze,f,2001,50.0
aze,mf,2002,48.29999923706055
aze,m,2002,43.900001525878906
aze,f,2002,53.099998474121094
aze,mf,2003,48.400001525878906
aze,m,2003,43.79999923706055
aze,f,2003,53.5
aze,mf,2004,48.599998474121094
aze,m,2004,43.900001525878906
aze,f,2004,53.70000076293945
aze,mf,2005,48.599998474121094
aze,m,2005,43.70000076293945
aze,f,2005,54.0
aze,mf,2006,48.29999923706055
aze,m,2006,42.599998474121094
aze,f,2006,54.29999923706055
aze,mf,2007,48.5
aze,m,2007,43.900001525878906
aze,f,2007,53.099998474121094
aze,mf,2008,48.900001525878906
aze,m,2008,45.0
aze,f,2008,52.900001525878906
aze,mf,2009,49.20000076293945
aze,m,2009,48.20000076293945
aze,f,2009,50.29999923706055
aze,mf,2010,48.099998474121094
aze,m,2010,46.79999923706055
aze,f,2010,49.400001525878906
aze,mf,2011,48.0
aze,m,2011,46.29999923706055
aze,f,2011,49.900001525878906
aze,mf,2012,48.099998474121094
aze,m,2012,46.29999923706055
aze,f,2012,49.900001525878906
aze,mf,2013,48.5
aze,m,2013,46.70000076293945
aze,f,2013,50.400001525878906
aze,mf,2014,48.900001525878906
bhs,mf,1986,79.4000015258789
bhs,m,1986,69.5
bhs,f,1986,91.30000305175781
bhs,mf,1989,79.5999984741211
bhs,m,1989,70.0999984741211
bhs,f,1989,90.30000305175781
bhs,mf,1991,78.5999984741211
bhs,m,1991,67.0999984741211
bhs,f,1991,93.0999984741211
bhs,mf,1992,79.30000305175781
bhs,m,1992,67.0999984741211
bhs,f,1992,93.0
bhs,mf,1993,81.5999984741211
bhs,m,1993,71.80000305175781
bhs,f,1993,93.30000305175781
bhs,mf,1994,81.30000305175781
bhs,m,1994,71.0999984741211
bhs,f,1994,92.5
bhs,mf,1995,81.19999694824219
bhs,m,1995,70.19999694824219
bhs,f,1995,93.30000305175781
bhs,mf,1996,79.80000305175781
bhs,m,1996,68.9000015258789
bhs,f,1996,92.69999694824219
bhs,mf,1997,81.19999694824219
bhs,m,1997,71.30000305175781
bhs,f,1997,92.4000015258789
bhs,mf,1998,80.9000015258789
bhs,m,1998,69.30000305175781
bhs,f,1998,93.19999694824219
bhs,mf,1999,78.9000015258789
bhs,m,1999,66.19999694824219
bhs,f,1999,93.30000305175781
bhs,mf,2001,78.4000015258789
bhs,m,2001,65.5
bhs,f,2001,92.19999694824219
bhs,mf,2002,79.19999694824219
bhs,m,2002,65.80000305175781
bhs,f,2002,93.4000015258789
bhs,mf,2003,80.9000015258789
bhs,m,2003,68.69999694824219
bhs,f,2003,93.69999694824219
bhs,mf,2004,79.4000015258789
bhs,m,2004,65.5
bhs,f,2004,94.4000015258789
bhs,mf,2005,78.4000015258789
bhs,m,2005,63.5
bhs,f,2005,94.30000305175781
bhs,mf,2006,79.5
bhs,m,2006,64.80000305175781
bhs,f,2006,94.19999694824219
bhs,mf,2007,79.5999984741211
bhs,m,2007,66.19999694824219
bhs,f,2007,94.19999694824219
bhs,mf,2008,80.5
bhs,m,2008,67.19999694824219
bhs,f,2008,94.69999694824219
bhs,mf,2009,80.80000305175781
bhs,m,2009,66.5
bhs,f,2009,95.5
bhs,mf,2011,83.0
bhs,m,2011,72.30000305175781
bhs,f,2011,93.69999694824219
bhr,mf,1981,61.099998474121094
bhr,m,1981,57.20000076293945
bhr,f,1981,93.19999694824219
bhr,mf,1982,61.5
bhr,m,1982,57.79999923706055
bhr,f,1982,92.80000305175781
bhr,mf,1991,68.9000015258789
bhr,m,1991,64.4000015258789
bhr,f,1991,92.0
bhr,mf,2001,68.5999984741211
bhr,m,2001,64.0999984741211
bhr,f,2001,86.0
bhr,mf,2004,84.19999694824219
bhr,m,2004,80.80000305175781
bhr,f,2004,96.9000015258789
bhr,mf,2010,62.400001525878906
bhr,m,2010,55.29999923706055
bhr,f,2010,89.69999694824219
bgd,mf,1984,24.200000762939453
bgd,m,1984,25.100000381469727
bgd,f,1984,15.199999809265137
bgd,mf,1985,26.0
bgd,m,1985,26.5
bgd,f,1985,20.299999237060547
bgd,mf,1986,26.5
bgd,m,1986,27.600000381469727
bgd,f,1986,15.899999618530273
bgd,mf,1989,14.800000190734863
bgd,m,1989,23.899999618530273
bgd,f,1989,2.0
bgd,mf,1991,16.200000762939453
bgd,m,1991,25.299999237060547
bgd,f,1991,2.0999999046325684
bgd,mf,1996,25.0
bgd,m,1996,33.70000076293945
bgd,f,1996,11.0
bgd,mf,2000,23.5
bgd,m,2000,30.299999237060547
bgd,f,2000,12.100000381469727
bgd,mf,2002,34.599998474121094
bgd,m,2002,37.900001525878906
bgd,f,2002,23.0
bgd,mf,2003,34.599998474121094
bgd,m,2003,37.900001525878906
bgd,f,2003,23.0
bgd,mf,2005,37.400001525878906
bgd,m,2005,43.0
bgd,f,2005,19.399999618530273
bgd,mf,2010,35.29999923706055
bgd,m,2010,41.099998474121094
bgd,f,2010,21.899999618530273
brb,mf,1981,69.0999984741211
brb,m,1981,66.5999984741211
brb,f,1981,72.4000015258789
brb,mf,1982,67.69999694824219
brb,m,1982,63.900001525878906
brb,f,1982,72.69999694824219
brb,mf,1983,68.5
brb,m,1983,64.80000305175781
brb,f,1983,73.4000015258789
brb,mf,1984,68.0999984741211
brb,m,1984,64.30000305175781
brb,f,1984,73.19999694824219
brb,mf,1985,68.30000305175781
brb,m,1985,62.70000076293945
brb,f,1985,75.5999984741211
brb,mf,1986,69.5
brb,m,1986,64.4000015258789
brb,f,1986,76.0999984741211
brb,mf,1987,69.69999694824219
brb,m,1987,63.70000076293945
brb,f,1987,77.0999984741211
brb,mf,1988,69.5
brb,m,1988,62.5
brb,f,1988,78.0
brb,mf,1989,60.900001525878906
brb,m,1989,55.400001525878906
brb,f,1989,67.5999984741211
brb,mf,1990,62.0
brb,m,1990,55.79999923706055
brb,f,1990,69.5
brb,mf,1991,65.5999984741211
brb,m,1991,60.0
brb,f,1991,72.5999984741211
brb,mf,1992,64.0999984741211
brb,m,1992,56.900001525878906
brb,f,1992,72.5
brb,mf,1993,65.5999984741211
brb,m,1993,60.70000076293945
brb,f,1993,71.69999694824219
brb,mf,1994,65.19999694824219
brb,m,1994,59.099998474121094
brb,f,1994,72.30000305175781
brb,mf,1995,65.0999984741211
brb,m,1995,59.599998474121094
brb,f,1995,70.80000305175781
brb,mf,1996,62.70000076293945
brb,m,1996,57.20000076293945
brb,f,1996,69.0
brb,mf,1997,64.30000305175781
brb,m,1997,57.0
brb,f,1997,73.0
brb,mf,1998,62.79999923706055
brb,m,1998,56.20000076293945
brb,f,1998,70.69999694824219
brb,mf,1999,64.0
brb,m,1999,56.0
brb,f,1999,73.0999984741211
brb,mf,2000,64.4000015258789
brb,m,2000,57.400001525878906
brb,f,2000,72.5999984741211
brb,mf,2001,65.5
brb,m,2001,58.20000076293945
brb,f,2001,73.30000305175781
brb,mf,2002,65.9000015258789
brb,m,2002,58.79999923706055
brb,f,2002,73.69999694824219
brb,mf,2003,66.80000305175781
brb,m,2003,59.5
brb,f,2003,74.69999694824219
brb,mf,2004,69.69999694824219
brb,m,2004,61.79999923706055
brb,f,2004,78.19999694824219
brb,mf,2010,77.5
brb,m,2010,66.30000305175781
brb,f,2010,89.19999694824219
brb,mf,2011,76.5
brb,m,2011,65.5
brb,f,2011,87.0999984741211
brb,mf,2012,78.0
brb,m,2012,68.80000305175781
brb,f,2012,88.0999984741211
brb,mf,2013,78.4000015258789
brb,m,2013,69.0
brb,f,2013,88.19999694824219
blr,mf,1987,35.900001525878906
blr,mf,1988,35.79999923706055
blr,mf,1989,35.599998474121094
blr,mf,1990,36.099998474121094
blr,mf,1991,36.599998474121094
blr,mf,1992,36.599998474121094
blr,mf,1993,38.20000076293945
blr,mf,1994,40.0
blr,mf,2009,49.900001525878906
blr,m,2009,37.400001525878906
blr,f,2009,62.5
blr,mf,2010,55.29999923706055
blr,mf,2011,55.5
blr,mf,2012,56.599998474121094
blr,mf,2013,57.20000076293945
bel,mf,1980,62.599998474121094
bel,m,1980,53.29999923706055
bel,f,1980,79.9000015258789
bel,mf,1981,64.0
bel,m,1981,54.70000076293945
bel,f,1981,81.0999984741211
bel,mf,1982,65.0999984741211
bel,m,1982,55.79999923706055
bel,f,1982,81.69999694824219
bel,mf,1983,65.9000015258789
bel,m,1983,56.599998474121094
bel,f,1983,82.0999984741211
bel,mf,1984,66.5
bel,m,1984,57.20000076293945
bel,f,1984,82.4000015258789
bel,mf,1985,67.0999984741211
bel,m,1985,57.79999923706055
bel,f,1985,82.9000015258789
bel,mf,1986,67.80000305175781
bel,m,1986,58.400001525878906
bel,f,1986,83.30000305175781
bel,mf,1987,68.5999984741211
bel,m,1987,59.0
bel,f,1987,83.9000015258789
bel,mf,1988,64.9000015258789
bel,m,1988,56.20000076293945
bel,f,1988,79.9000015258789
bel,mf,1989,64.69999694824219
bel,m,1989,55.70000076293945
bel,f,1989,80.19999694824219
bel,mf,1990,65.5999984741211
bel,m,1990,56.400001525878906
bel,f,1990,80.80000305175781
bel,mf,1991,66.30000305175781
bel,m,1991,56.5
bel,f,1991,82.0
bel,mf,1992,66.5
bel,m,1992,56.400001525878906
bel,f,1992,82.0
bel,mf,1993,67.9000015258789
bel,m,1993,57.29999923706055
bel,f,1993,83.9000015258789
bel,mf,1994,68.19999694824219
bel,m,1994,58.0
bel,f,1994,83.5999984741211
bel,mf,1995,69.0999984741211
bel,m,1995,58.900001525878906
bel,f,1995,84.30000305175781
bel,mf,1996,69.5999984741211
bel,m,1996,59.599998474121094
bel,f,1996,84.5999984741211
